,0
657,52.56
658,52.64
659,52.72
660,52.800000000000004
661,52.88
662,52.96
663,53.04
664,53.120000000000005
665,53.2
666,53.28
667,53.36
668,53.44
669,53.52
670,53.6
671,53.68
672,53.76
673,53.84
674,53.92
675,54.0
676,54.08
677,54.160000000000004
678,54.24
679,54.32
680,54.4
681,54.480000000000004
682,54.56
683,54.64
684,54.72
685,54.800000000000004
686,54.88
687,54.96
688,55.04
689,55.120000000000005
690,55.2
691,55.28
692,55.36
693,55.44
694,55.52
695,55.6
696,55.68
697,55.76
698,55.84
699,55.92
700,56.0
701,56.08
702,56.160000000000004
703,56.24
704,56.32
705,56.4
706,56.480000000000004
707,56.56
708,56.64
709,56.72
710,56.800000000000004
711,56.88
712,56.96
713,57.04
714,57.120000000000005
715,57.2
716,57.28
717,57.36
718,57.44
719,57.52
720,57.6
721,57.68
722,57.76
723,57.84
724,57.92
725,58.0
726,58.08
727,58.160000000000004
728,58.24
729,58.32
730,58.4
731,58.480000000000004
732,58.56
733,58.64
734,58.72
735,58.800000000000004
736,58.88
737,58.96
738,59.04
739,59.120000000000005
740,59.2
741,59.28
742,59.36
743,59.44
744,59.52
745,59.6
746,59.68
747,59.76
748,59.84
749,59.92
750,60.0
751,60.08
752,60.160000000000004
753,60.24
754,60.32
755,60.4
756,60.480000000000004
757,60.56
758,60.64
759,60.72
760,60.800000000000004
761,60.88
762,60.96
763,61.04
764,61.120000000000005
765,61.2
766,61.28
767,61.36
768,61.44
769,61.52
770,61.6
771,61.68
772,61.76
773,61.84
774,61.92
775,62.0
776,62.08
777,62.160000000000004
778,62.24
779,62.32
780,62.4
781,62.480000000000004
782,62.56
783,62.64
784,62.72
785,62.800000000000004
786,62.88
787,62.96
788,63.04
789,63.120000000000005
790,63.2
791,63.28
792,63.36
793,63.440000000000005
794,63.52
795,63.6
796,63.68
797,63.76
798,63.84
799,63.92
800,64.0
801,64.08
802,64.16
803,64.24
804,64.32000000000001
805,64.4
806,64.48
807,64.56
808,64.64
809,64.72
810,64.8
811,64.88
812,64.96000000000001
813,65.04
814,65.12
815,65.2
816,65.28
817,65.36
818,65.44
819,65.52
820,65.6
821,65.68
822,65.76
823,65.84
824,65.92
825,66.0
826,66.08
827,66.16
828,66.24
829,66.32000000000001
830,66.4
831,66.48
832,66.56
833,66.64
834,66.72
835,66.8
836,66.88
837,66.96000000000001
838,67.04
839,67.12
840,67.2
841,67.28
842,67.36
843,67.44
844,67.52
845,67.6
846,67.68
847,67.76
848,67.84
849,67.92
850,68.0
851,68.08
852,68.16
853,68.24
854,68.32000000000001
855,68.4
856,68.48
857,68.56
858,68.64
859,68.72
860,68.8
861,68.88
862,68.96000000000001
863,69.04
864,69.12
865,69.2
866,69.28
867,69.36
868,69.44
869,69.52
870,69.60000000000001
871,69.68
872,69.76
873,69.84
874,69.92
875,70.0
876,70.08
877,70.16
878,70.24
879,70.32000000000001
880,70.4
881,70.48
882,70.56
883,70.64
884,70.72
885,70.8
886,70.88
887,70.96000000000001
888,71.04
889,71.12
890,71.2
891,71.28
892,71.36
893,71.44
894,71.52
895,71.60000000000001
896,71.68
897,71.76
898,71.84
899,71.92
900,72.0
901,72.08
902,72.16
903,72.24
904,72.32000000000001
905,72.4
906,72.48
907,72.56
908,72.64
909,72.72
910,72.8
911,72.88
912,72.96000000000001
913,73.04
914,73.12
915,73.2
916,73.28
917,73.36
918,73.44
919,73.52
920,73.60000000000001
921,73.68
922,73.76
923,73.84
924,73.92
925,74.0
926,74.08
927,74.16
928,74.24
929,74.32000000000001
930,74.4
931,74.48
932,74.56
933,74.64
934,74.72
935,74.8
936,74.88
937,74.96000000000001
938,75.04
939,75.12
940,75.2
941,75.28
942,75.36
943,75.44
944,75.52
945,75.60000000000001
946,75.68
947,75.76
948,75.84
949,75.92
950,76.0
951,76.08
